fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir
wild24,high,05/05/2021,11:45:19,x,nan,no_reaction,no change,1,,,,wild,,,,,,,,,,,,,,,,,,,high1
wild28,high,05/05/2021,13:32:31,x,nan,no_reaction,no change,1,,,,wild,,,,,,,,,,,,,,,,,,,high1
wild29,high,05/05/2021,14:00:07,x,nan,no_reaction,no change,-1,,,,wild,,,,,,,,,,,,,,,,,,,high-1
wild31,high,05/05/2021,14:55:08,x,nan,no_reaction,no change,-1,,,,wild,,,,,,,,,,,,,,,,,,,high-1
indoorfarmed1,old,1Aug,13:29:10,13:34:05,00:04:55,dir_change,,1,2.0,-3.0,-4.0,farmed_in,,,,,,,,,,,,,,,295.0,,,3.0,old1
indoorfarmed2,old,1Aug,14:42:48,14:48:40,00:05:52,dir_change,,1,11.0,-15.0,-13.0,farmed_in,,,,,,,,,,,,,,,352.0,,,15.0,old1
indoorfarmed3,old,1Aug,15:14:10,-,nan,no_reaction,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed4,old,1Aug,15:46:30,15:46:47,00:00:17,swim_off,,1,11.0,-4.0,-11.0,farmed_in,,,,,,,,,,,,,,,17.0,,,4.0,old1
indoorfarmed5,old,1Aug,16:19:05,16:19:38,00:00:33,dir_change,,-1,-10.0,0.0,12.0,farmed_in,,,,,,,,,,,,,,,33.0,,,0.0,old-1
indoorfarmed6,old,1Aug,16:55:05,16:56:34,00:01:29,swim_off,,1,10.0,-7.0,-14.0,farmed_in,,,,,,,,,,,,,,,89.0,,,7.0,old1
indoorfarmed7,old,1Aug,17:25:26,17:26:32,00:01:06,swim_off,,-1,-9.0,5.0,10.0,farmed_in,,,,,,,,,,,,,,,66.0,,,5.0,old-1
indoorfarmed8,old,1Aug,17:54:12,-,nan,unstable,,1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old1
indoorfarmed9,old,5Aug,15:10:03,15:10:53,00:00:50,dir_change,,1,2.0,-5.0,-4.0,farmed_in,,,,,,,,,,,,,,,50.0,,,5.0,old1
indoorfarmed10,old,5Aug,15:37:05,-,nan,error,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed11,old,5Aug,16:00:19,-,nan,error,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed12,old,5Aug,16:40:41,-,nan,unstable,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed13,old,5Aug,16:41:06,16:43:33,00:02:27,dir_change,,1,4.0,-5.0,-6.0,farmed_in,,,,,,,,,,,,,,,147.0,,,5.0,old1
indoorfarmed14,old,5Aug,17:18:58,-,nan,error,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed15,old,5Aug,17:52:24,-,nan,error,,1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old1
indoorfarmed16,old,5Aug,18:23:09,-,nan,error,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed17,old,5Aug,18:56:21,-,nan,error,,1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old1
indoorfarmed18,old,5Aug,19:14:42,-,nan,error,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed19,old,6Aug,09:45:58,-,nan,unstable,,1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old1
indoorfarmed20,old,6Aug,10:17:33,10:18:39,00:01:06,dir_change,,-1,-15.0,6.0,10.0,farmed_in,,,,,,,,,,,,,,,66.0,,,6.0,old-1
indoorfarmed21,old,6Aug,10:48:25,10:50:48,00:02:23,dir_change,,1,6.0,-8.0,-8.0,farmed_in,,,,,,,,,,,,,,,143.0,,,8.0,old1
indoorfarmed22,old,6Aug,11:18:51,11:20:06,00:01:15,swim_off,,-1,-15.0,6.0,8.0,farmed_in,,,,,,,,,,,,,,,75.0,,,6.0,old-1
indoorfarmed23,old,6Aug,11:55:59,11:59:05,00:03:06,dir_change,,1,6.0,-8.0,-8.0,farmed_in,,,,,,,,,,,,,,,186.0,,,8.0,old1
indoorfarmed24,old,6Aug,12:35:59,12:40:01,00:04:02,swim_off,,-1,,,,farmed_in,,,,,,,,,,,,,,,242.0,,,,old-1
indoorfarmed25,old,6Aug,13:12:37,13:14:20,00:01:43,dir_change,,1,10.0,-13.0,-13.0,farmed_in,,,,,,,,,,,,,,,103.0,,,13.0,old1
indoorfarmed26,old,6Aug,13:49:25,-,nan,unstable,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed27,old,6Aug,14:57:18,14:58:59,00:01:41,swim_off,,1,6.0,-8.0,-8.0,farmed_in,,,,,,,,,,,,,,,101.0,,,8.0,old1
indoorfarmed28,old,6Aug,15:32:37,-,nan,unstable,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed29,old,6Aug,16:08:50,-,nan,no_reaction,,1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old1
indoorfarmed30,old,6Aug,16:44:20,16:44:40,00:00:20,unstable,,-1,,,,farmed_in,,,,,,,,,,,,,,,20.0,,,,old-1
indoorfarmed31,old,6Aug,17:21:28,17:23:39,00:02:11,swim_off,,1,6.0,-8.0,-7.0,farmed_in,,,,,,,,,,,,,,,131.0,,,8.0,old1
indoorfarmed32,old,6Aug,17:59:03,18:03:24,00:04:21,dir_change,,-1,-8.0,10.0,9.0,farmed_in,,,,,,,,,,,,,,,261.0,,,10.0,old-1
indoorfarmed33,old,6Aug,18:42:50,18:43:52,00:01:02,dir_change,,1,14.0,-6.0,-9.0,farmed_in,,,,,,,,,,,,,,,62.0,,,6.0,old1
indoorfarmed34,old,6Aug,20:21:52,20:25:45,00:03:53,dir_change,,-1,-8.0,8.0,9.0,farmed_in,,,,,,,,,,,,,,,233.0,,,8.0,old-1
indoorfarmed35,old,6Aug,20:55:31,20:56:36,00:01:05,dir_change,,1,9.0,-8.0,-14.0,farmed_in,,,,,,,,,,,,,,,65.0,,,8.0,old1
indoorfarmed36,old,6Aug,21:24:43,21:27:28,00:02:45,dir_change,,-1,-16.0,10.0,9.0,farmed_in,,,,,,,,,,,,,,,165.0,,,10.0,old-1
indoorfarmed37,old,6Aug,21:52:07,21:53:43,00:01:36,dir_change,,1,7.0,-7.0,-7.0,farmed_in,,,,,,,,,,,,,,,96.0,,,7.0,old1
indoorfarmed38,old,12Sep,15:28:03,15:29:44,00:01:41,dir_change,,-1,-9.0,5.0,6.0,farmed_in,,,,,,,,,,,,,,,101.0,,,5.0,old-1
indoorfarmed39,old,12Sep,15:58:28,-,nan,unstable,,1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old1
indoorfarmed40,old,12Sep,16:25:41,-,nan,no_reaction,,-1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old-1
indoorfarmed41,old,12Sep,16:56:10,16:58:09,00:01:59,swim_off,,1,7.0,8.0,-8.0,farmed_in,,,,,,,,,,,,,,,119.0,,,8.0,old1
indoorfarmed42,old,12Sep,17:30:29,17:32:28,00:01:59,dir_change,,-1,-15.0,10.0,11.0,farmed_in,,,,,,,,,,,,,,,119.0,,,10.0,old-1
indoorfarmed43,old,12Sep,18:00:18,18:01:24,00:01:06,dir_change,,1,7.0,5.0,-20.0,farmed_in,,,,,,,,,,,,,,,66.0,,,5.0,old1
indoorfarmed44,old,13Sep,12:24:25,12:25:49,00:01:24,dir_change,,1,7.0,3.0,-20.0,farmed_in,,,,,,,,,,,,,,,84.0,,,3.0,old1
indoorfarmed45,old,13Sep,12:53:48,12:54:25,00:00:37,swim_off,,-1,-15.0,1.0,11.0,farmed_in,,,,,,,,,,,,,,,37.0,,,1.0,old-1
indoorfarmed46,old,13Sep,13:21:34,13:21:59,00:00:25,dir_change,,1,9.0,2.0,-13.0,farmed_in,,,,,,,,,,,,,,,25.0,,,2.0,old1
indoorfarmed47,old,13Sep,13:53:32,13:54:55,00:01:23,swim_off,,-1,-15.0,7.0,7.0,farmed_in,,,,,,,,,,,,,,,83.0,,,7.0,old-1
indoorfarmed48,old,13Sep,14:22:13,14:23:25,00:01:12,dir_change,,1,7.0,-8.0,-20.0,farmed_in,,,,,,,,,,,,,,,72.0,,,8.0,old1
indoorfarmed49,old,13Sep,14:51:30,14:52:12,00:00:42,swim_off,,-1,-9.0,1.0,6.0,farmed_in,,,,,,,,,,,,,,,42.0,,,1.0,old-1
indoorfarmed50,old,13Sep,15:19:28,15:21:13,00:01:45,dir_change,,1,8.0,-16.0,-15.0,farmed_in,,,,,,,,,,,,,,,105.0,,,16.0,old1
indoorfarmed51,old,13Sep,15:50:51,15:51:30,00:00:39,swim_off,,-1,-9.0,1.0,6.0,farmed_in,,,,,,,,,,,,,,,39.0,,,1.0,old-1
indoorfarmed52,old,13Sep,16:00:46,-,nan,no_reaction,,1,,,,farmed_in,,,,,,,,,,,,,,,,,,,old1
fish56,low,13Mar,14:22:15,14:23:47,00:01:32,dir_change,,-1,-3.75,10.4,,farmed_loch,fish56,2.522046609522519,0.1014446120356054,,w,0.12558189554479546,0.3535533905932738,1.2292725943057183,0.9660917830792959,10.8,0.4472135954999579,10.8,-2.8800000000000003,-2.7733333333333334,92.0,10.8,10.8,10.4,low-1
fish57,low,13Mar,14:50:40,14:51:15,00:00:35,dir_change,,1,-9.7,5.7,,farmed_loch,fish57,2.181428934840713,0.2286768733006335,,y,0.17387502033600952,1.0593499054713802,1.3006408676751113,2.3118054512532935,5.8,2.6832815729997477,5.8,-0.5979381443298969,-0.5876288659793815,35.0,5.8,5.8,5.7,low1
fish61,low,13Mar,16:41:06,16:44:40,00:03:34,dir_change,,1,5.15,,,farmed_loch,fish61,1.9543483747188735,0.9720777652143396,,r,0.20239440180834872,1.4151953143569187,0.23570226039551584,,,,,,,214.0,,,,low1
fish62,low,13Mar,17:08:55,17:11:43,00:02:48,dir_change,,-1,6.8,,,farmed_loch,fish62,2.506363702105071,0.9229854326685388,,t,0.09477087776132892,0.6324555320336759,0.48304589153964794,,,,,,,168.0,,,,low-1
fish63,low,13Mar,17:36:25,17:36:55,00:00:30,dir_change,,1,15.7,0.5,,farmed_loch,fish63,0.1861501519243095,0.106918372770668,,b,0.06721490275633381,5.538752366533259,0.724568837309472,0.97182531580755,0.2,0.44721359549995804,0.2,0.012738853503184714,0.03184713375796178,30.0,0.2,0.2,0.5,low1
fish65,low,13Mar,18:37:44,18:39:14,00:01:30,dir_change,,1,4.3,-8.5,,farmed_loch,fish65,0.4974032791448044,0.9455893023418268,,f,0.12895095559134626,0.9486832980505138,0.8432740427115678,1.1785113019775793,-7.6,0.5477225575051662,-7.6,-1.7674418604651163,-1.9767441860465118,90.0,7.6,7.6,8.5,low1
fish76,low,25/03/2021,14:57:32,14:58:23,00:00:51,dir_change,stable,-1,11.75,-4.75,,farmed_loch,fish76,2.44883544981635,0.0925246358754551,,u,0.1300604368243916,1.5138251770487459,0.9486832980505138,1.0865337342004415,-4.6,0.8944271909999159,-4.6,-0.3914893617021276,-0.40425531914893614,51.0,4.6,4.6,4.75,low-1
fish78,low,25/03/2021,16:11:30,16:14:13,00:02:43,dir_change,stable,-1,6.8,7.0,,farmed_loch,fish78,2.5998635461790047,0.9317942144072598,,t,0.029983391897888696,0.6324555320336759,0.48304589153964794,0.0,,,,,1.0294117647058825,163.0,,,7.0,low-1
fish80,low,25/03/2021,17:10:25,17:11:04,00:00:39,dir_change,stable,-1,15.7,-4.9,,farmed_loch,fish80,0.0272709445407785,0.1202141588165904,,b,0.18817008733365254,5.538752366533259,0.724568837309472,2.024845673131659,-5.6,0.8944271909999157,-5.6,-0.35668789808917195,-0.3121019108280255,39.0,5.6,5.6,4.9,low-1
fish81,low,25/03/2021,17:43:11,17:43:51,00:00:40,dir_change,stable,1,15.7,-5.6,,farmed_loch,fish81,0.215035019299288,0.0515241166804172,,b,0.02031514336829081,5.538752366533259,0.724568837309472,1.1737877907772671,-5.6,0.8944271909999157,-5.6,-0.35668789808917195,-0.35668789808917195,40.0,5.6,5.6,5.6,low1
fish84,high,27/03/2021,10:35:41,10:36:16,00:00:35,dir_change,dir change,1,,,,farmed_loch,fish84,0.2020634174692645,0.8607794973732585,,o6,0.08207129728409013,,,,,,,,,35.0,,,,high1
fish85,high,27/03/2021,11:03:58,11:10:12,00:06:14,swim_off,swims off,-1,,,,farmed_loch,fish85,2.516081821715676,0.0073994246705231,,o19,0.07671536131745156,,,,,,,,,374.0,,,,high-1
fish86,high,27/03/2021,11:32:15,11:32:35,00:00:20,dir_change,dir change,1,,,,farmed_loch,fish86,1.8842851221776047,0.3930077434723575,,o17,0.03412387479848171,,,,,,,,,20.0,,,,high1
fish87,high,27/03/2021,11:59:02,11:59:40,00:00:38,dir_change,dir change,-1,,,,farmed_loch,fish87,2.5233013555353376,0.0425688593826706,,o19,0.0747118794792475,,,,,,,,,38.0,,,,high-1
fish88,high,27/03/2021,12:33:10,12:33:28,00:00:18,dir_change,dir change,1,,,,farmed_loch,fish88,2.779832462096836,0.1813849077016711,,o12,0.07828805707829829,,,,,,,,,18.0,,,,high1
fish90,high,27/03/2021,13:28:21,13:28:43,00:00:22,dir_change,dir change,1,,,,farmed_loch,fish90,0.7819212503286572,0.0789389087127569,,o3,0.03508149846654526,,,,,,,,,22.0,,,,high1
fish91,high,27/03/2021,13:58:18,13:58:57,00:00:39,dir_change,beta,-1,20.2,-8.05,,farmed_loch,fish91,1.7623434054987563,0.0995407259089068,,h9,0.09278010703688638,2.8693785622209793,2.0789954839350235,1.8020050561034013,-9.1,1.2449899597988732,-9.1,-0.4504950495049505,-0.3985148514851486,39.0,9.1,9.1,8.05,high-1
fish92,high,27/03/2021,14:32:35,14:33:05,00:00:30,swim_off,swim off,1,-14.6,-2.95,,farmed_loch,fish92,0.1629212626756252,0.945397051577909,,h27,0.048252475717294734,0.45946829173634074,3.0226000580809744,2.4318488622628025,-3.4,2.1908902300206643,-3.4,0.2328767123287671,0.20205479452054798,30.0,3.4,3.4,2.95,high1
fish93,high,27/03/2021,15:03:53,15:05:25,00:01:32,dir_change,dir change,-1,,,,farmed_loch,fish93,1.3438871645275243,0.0626612254839347,,o9,0.08074684132609135,,,,,,,,,92.0,,,,high-1
fish94,high,27/03/2021,15:43:15,15:44:14,00:00:59,swim_off,swim off,1,,,,farmed_loch,fish94,1.481479800675351,0.0693589969679533,,o10,0.1429824016414825,,,,,,,,,59.0,,,,high1
fish95,high,27/03/2021,16:10:40,16:11:35,00:00:55,dir_change,beta,-1,,,,farmed_loch,fish95,2.618083639535183,0.1041082280913497,,o18,0.06767692837988741,,,,,,,,,55.0,,,,high-1
farmed98,high,28/03/2021,13:18:24,13:19:36,00:01:12,swim_off,swim off,-1,,,,farmed_loch,farmed98,0.8027904926251632,0.9180858274978556,,o4,0.07963992143554696,,,,,,,,,72.0,,,,high-1
farmed99,high,28/03/2021,13:46:10,13:47:15,00:01:05,dir_change,dir change,1,-15.15,24.0,,farmed_loch,farmed99,0.2204479662099567,0.0877198333289416,,h21,0.056300211539534066,0.8181958472422385,1.2516655570345725,2.041241452319315,23.6,2.302172886644268,23.6,-1.5577557755775577,-1.584158415841584,65.0,23.6,23.6,24.0,high1
farmed100,high,28/03/2021,14:14:26,14:16:21,00:01:55,dir_change,dir change,-1,,,,farmed_loch,farmed100,1.6261773811536184,0.923538503680898,,o13,0.10440565676253667,,,,,,,,,115.0,,,,high-1
farmed101,high,28/03/2021,14:41:30,14:44:04,00:02:34,swim_off,swim off,1,-15.15,24.15,,farmed_loch,farmed101,0.2588606169781581,0.0639059377854478,,h21,0.08949425060615822,0.8181958472422385,1.2516655570345725,2.3576117859675993,22.8,1.0954451150103324,22.8,-1.504950495049505,-1.594059405940594,154.0,22.8,22.8,24.15,high1
farmed102,high,28/03/2021,15:09:09,15:10:33,00:01:24,swim_off,swim off,-1,,,,farmed_loch,farmed102,2.574400081735676,0.1292701963769334,,o18,0.08971072230341125,,,,,,,,,84.0,,,,high-1
farmed103,high,28/03/2021,15:35:29,15:36:25,00:00:56,dir_change,dir change,1,,,,farmed_loch,farmed103,1.123791697460419,0.0285655310058813,,o9,0.1428925876858415,,,,,,,,,56.0,,,,high1
farmed108,high,28/03/2021,17:52:52,17:54:25,00:01:33,dir_change,dir change,-1,,,,farmed_loch,farmed108,2.4941557674277894,0.065748768426044,,o19,0.05052721616552795,,,,,,,,,93.0,,,,high-1
farmed110,high,28/03/2021,18:48:29,18:50:19,00:01:50,dir_change,"dir change and swim off, slow",-1,,,,farmed_loch,farmed110,2.517550196588447,0.0764563605690138,,o19,0.07625283662647085,,,,,,,,,110.0,,,,high-1
farmed111,high,28/03/2021,19:16:11,19:19:20,00:03:09,dir_change,dir change,1,-16.6,,,farmed_loch,farmed111,0.3337741515503315,0.7671061175406984,,h23,0.19649499854534475,1.5055453054181622,1.6406299603099617,,,,,,,189.0,,,,high1
farmed112,high,28/03/2021,19:44:04,19:44:35,00:00:31,dir_change,dir change,-1,,,,farmed_loch,farmed112,2.445881811444465,0.0823476738418579,,o19,0.03855306735543201,,,,,,,,,31.0,,,,high-1
farmed113,high,28/03/2021,20:11:26,20:11:33,00:00:07,swim_off,swims off,1,-16.6,-16.6,,farmed_loch,farmed113,0.2349894820034399,0.7521467923192043,,h23,0.10149940396973052,1.5055453054181622,1.6406299603099617,1.5055453054181622,-15.6,1.51657508881031,-15.6,0.9397590361445782,1.0,7.0,15.6,15.6,16.6,high1
wild1,high,03/05/2021,13:06:50,13:08:00,00:01:10,swim_off,"swims off, barely stable, first adjust postioins for a while but only now decides in needs to chagne holidng",1,,,,wild,wild1,2.7472676158609244,0.9002235408676219,,o14,0.20989746843970444,,,,,,,,,70.0,,,,high1
wild3,high,03/05/2021,14:10:24,14:12:14,00:01:50,dir_change,,1,,,,wild,wild3,0.2012088397030788,0.951501929262926,,o6,0.022310398350681264,,,,,,,,,110.0,,,,high1
wild5,high,03/05/2021,15:06:28,15:06:43,00:00:15,dir_change,,1,,,,wild,wild5,2.7333857915710653,0.514277046729031,,o15,0.10143767520685203,,,,,,,,,15.0,,,,high1
wild6,high,03/05/2021,15:34:40,15:35:43,00:01:03,swim_off,swims off,-1,,,,wild,wild6,1.7502331545670888,0.9593455034378644,,o11,0.020496552070023006,,,,,,,,,63.0,,,,high-1
wild7,high,03/05/2021,16:02:00,16:02:37,00:00:37,dir_change,changes direction but is first sideways accrosss...,1,,,,wild,wild7,2.7244198958090586,0.3033823033559303,,o22,0.014338456903869425,,,,,,,,,37.0,,,,high1
wild8,high,03/05/2021,16:31:20,16:32:21,00:01:01,dir_change,,-1,,,,wild,wild8,0.8259163561725646,0.9418208590531634,,o4,0.05582499451729094,,,,,,,,,61.0,,,,high-1
wild10,high,03/05/2021,17:25:27,17:27:08,00:01:41,dir_change,,-1,,,,wild,wild10,2.4091961132004855,0.0433662767557794,,o19,0.03940854448552338,,,,,,,,,101.0,,,,high-1
wild11,high,03/05/2021,17:54:12,17:54:44,00:00:32,dir_change,changes direction but is first sideways accrosss...,1,,,,wild,wild11,2.7582052138796125,0.8510717535887997,,o14,0.1649509016232844,,,,,,,,,32.0,,,,high1
wild12,high,04/05/2021,12:01:36,12:02:04,00:00:28,dir_change,,1,,,,wild,wild12,2.6971912085566863,0.7965248746889119,,o14,0.10286939769384372,,,,,,,,,28.0,,,,high1
wild14,high,04/05/2021,12:57:21,12:57:50,00:00:29,swim_off,barely stable but swims off,1,,,,wild,wild14,0.5065738839577136,0.1979628549975144,,o8,0.06727996627324087,,,,,,,,,29.0,,,,high1
wild15,high,04/05/2021,13:24:22,13:25:41,00:01:19,dir_change,,-1,,,,wild,wild15,2.608989744997549,0.0599878334602497,,o18,0.10993243984999934,,,,,,,,,79.0,,,,high-1
wild17,high,04/05/2021,14:20:34,14:21:59,00:01:25,dir_change,,-1,,,,wild,wild17,2.607525494027912,0.0652355921190963,,o18,0.10600967690159648,,,,,,,,,85.0,,,,high-1
wild18,high,04/05/2021,14:47:54,14:48:58,00:01:04,dir_change,,1,-14.6,5.15,,wild,wild18,0.1124590334442193,0.9192701379804868,,h27,0.04138296555715572,0.45946829173634074,3.0226000580809744,2.1864481598143493,5.5,1.6583123951777,5.5,-0.3767123287671233,-0.3527397260273973,64.0,5.5,5.5,5.15,high1
wild19,high,04/05/2021,15:15:58,15:16:12,00:00:14,swim_off,barely stable but swims off,-1,,,,wild,wild19,0.1167663604212178,0.7585184979710503,,o5,0.06738838803282778,,,,,,,,,14.0,,,,high-1
wild20,high,04/05/2021,15:45:16,15:45:56,00:00:40,dir_change,,1,-15.15,18.2,,wild,wild20,0.1949504288993046,0.0348668892223164,,h21,0.03880756216772846,0.8181958472422385,1.2516655570345725,4.417138339593985,20.4,2.5099800796022267,20.4,-1.3465346534653464,-1.2013201320132012,40.0,20.4,20.4,18.2,high1
wild21,high,04/05/2021,16:12:24,16:16:09,00:03:45,dir_change,,-1,,,,wild,wild21,2.637807929518074,0.0739529456129417,,o18,0.086439183172277,,,,,,,,,225.0,,,,high-1
wild25,high,05/05/2021,12:12:25,12:13:44,00:01:19,dir_change,,-1,,,,wild,wild25,2.56884031813944,0.0389540110867874,,o19,0.12034044699940925,,,,,,,,,79.0,,,,high-1
wild26,high,05/05/2021,12:39:14,12:39:33,00:00:19,dir_change,barely stable but changes direction,1,,,,wild,wild26,2.742824854420601,0.8333135548737086,,o14,0.14360772997224738,,,,,,,,,19.0,,,,high1
wild27,high,05/05/2021,13:05:54,13:07:01,00:01:07,dir_change,dir change,-1,,,,wild,wild27,0.7509814057950324,0.0602813933672169,,o3,0.02085639438710369,,,,,,,,,67.0,,,,high-1
wild30,high,05/05/2021,14:27:28,14:27:54,00:00:26,swim_off,swims off,1,-15.95,6.85,,wild,wild30,0.3870166900036114,0.0506721189104867,,h30,0.09251120797057881,1.0124228365658292,2.514402955419481,4.472446509213696,6.2,4.324349662087931,6.2,-0.3887147335423198,-0.42946708463949845,26.0,6.2,6.2,6.85,high1
