fishname,fs,fishdate,time_flow,time_react,tdiff,info,info,direction
wild13,high,04/05/2021,12:30:06,x,,no_reaction,no chane,Flow Counterclockwise (2)
wild14,high,04/05/2021,12:57:21,12:57:50,00:00:29,swim_off,barely stable but swims off,Flow Clockwise (1)
wild15,high,04/05/2021,13:24:22,13:25:41,00:01:19,dir_change,,Flow Counterclockwise (2)
wild16,high,04/05/2021,13:52:26,x,,no_reaction,it is first sideways accrosss...,Flow Clockwise (1)
wild17,high,04/05/2021,14:20:34,14:21:59,00:01:25,dir_change,,Flow Counterclockwise (2)
wild18,high,04/05/2021,14:47:54,14:48:58,00:01:04,dir_change,,Flow Clockwise (1)
wild19,high,04/05/2021,15:15:58,15:16:12,00:00:14,swim_off,barely stable but swims off,Flow Counterclockwise (2)
wild20,high,04/05/2021,15:45:16,15:45:56,00:00:40,dir_change,,Flow Clockwise (1)
wild21,high,04/05/2021,16:12:24,16:16:09,00:03:45,dir_change,,Flow Counterclockwise (2)
wild22,high,05/05/2021,10:50:23,x,,no_reaction,no change,Flow Clockwise (1)
wild23,high,05/05/2021,11:18:29,x,,no_reaction,no change,Flow Counterclockwise (2)
wild24,high,05/05/2021,11:45:19,x,,no_reaction,no change,Flow Clockwise (1)
wild25,high,05/05/2021,12:12:25,12:13:44,00:01:19,dir_change,,Flow Counterclockwise (2)
wild26,high,05/05/2021,12:39:14,12:39:33,00:00:19,dir_change,barely stable but changes direction,Flow Clockwise (1)
wild27,high,05/05/2021,13:05:54,13:07:01,00:01:07,dir_change,dir change,Flow Counterclockwise (2)
wild28,high,05/05/2021,13:32:31,x,,no_reaction,no change,Flow Clockwise (1)
wild29,high,05/05/2021,14:00:07,x,,no_reaction,no change,Flow Counterclockwise (2)
wild30,high,05/05/2021,14:27:28,14:27:54,00:00:26,swim_off,swims off,Flow Clockwise (1)
wild31,high,05/05/2021,14:55:08,x,,no_reaction,no change,Flow Counterclockwise (2)
